M_ID,File_id,Model_Name,file_path,Depth,Block_count,Conn_count_no_hidden,Conn_count_hidden_only,Child_model_count
1,100042416,BlankCntrlr_model.mdl,workdirtmp\DISCON_Simulink-master\Simulink_32bit\BlankCntrlr_model.mdl,1,17,16,0,1
2,100042416,BlankCntrlr_model.mdl,workdirtmp\DISCON_Simulink-master\Simulink_32bit\BlankCntrlr_model.mdl,2,31,17,0,0
3,100042416,DISCON_Empty.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_Empty.slx,1,66,0,0,0
4,100042416,DISCON_NREL5MW.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_NREL5MW.slx,1,86,31,1,7
5,100042416,DISCON_NREL5MW.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_NREL5MW.slx,2,45,43,0,5
6,100042416,DISCON_NREL5MW.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_NREL5MW.slx,3,14,12,0,1
7,100381142,OmegaTest.slx,workdirtmp\Omega6_Simulink_Integration-master\OmegaTest.slx,1,14,22,0,1
8,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,1,11,18,0,3
9,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,2,24,20,0,0
10,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,1,9,12,0,2
11,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,2,13,9,0,0
12,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,1,9,12,0,2
13,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,2,13,9,0,0
14,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,1,5,5,0,2
15,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,2,12,11,0,1
16,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,3,11,11,0,0
17,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,1,5,5,0,2
18,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,2,12,11,0,1
19,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,3,10,10,0,0
20,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,1,7,9,0,2
21,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,2,25,33,0,10
22,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,3,98,120,0,18
23,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,4,158,157,0,1
24,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,5,6,6,0,0
25,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,1,7,9,0,2
26,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,2,26,34,0,10
27,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,3,96,108,0,14
28,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,4,128,126,0,2
29,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,5,14,10,0,0
30,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,1,7,9,0,2
31,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,2,26,34,0,10
32,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,3,96,108,0,14
33,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,4,128,126,0,2
34,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,5,14,10,0,0
