ID,FILE_ID,Model_Name,file_path,is_test,is_Lib,SCHK_Block_count,SLDiag_Block_count,SubSystem_count_Top,Agg_SubSystem_count,Hierarchy_depth,LibraryLinked_Count,compiles,CComplexity,Sim_time,Compile_time,Alge_loop_Cnt,target_hw,solver_type,sim_mode,total_ConnH_cnt,total_desc_cnt,ncs_cnt,scc_cnt,unique_sfun_count,sfun_nam_count,mdlref_nam_count,unique_mdl_ref_count
1,100042416,BlankCntrlr_model.mdl,workdirtmp\DISCON_Simulink-master\Simulink_32bit\BlankCntrlr_model.mdl,-1,0,48,48,1,1,2,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,33,1,1,0,0,,,0
2,100042416,DISCON_Empty.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_Empty.slx,-1,0,66,66,0,0,1,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,0,0,0,0,0,,,0
3,100042416,DISCON_NREL5MW.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_NREL5MW.slx,-1,0,145,145,5,8,3,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,86,13,13,0,0,,,0
4,100381142,OmegaTest.slx,workdirtmp\Omega6_Simulink_Integration-master\OmegaTest.slx,-1,0,14,14,0,0,1,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,22,1,1,1,1,",OmegaInterface_1",,0
5,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,-1,0,35,43,2,2,2,0,1,10,10000,0.3100000023841858,0,Unspecified,Fixed-step,normal,38,3,3,0,0,,,0
6,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,-1,0,22,30,1,1,2,0,1,17,20,0.2090001106262207,0,32-bit Generic,Fixed-step,normal,21,2,2,0,0,,,0
7,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,-1,0,22,30,1,1,2,0,1,17,20,0.2120000720024109,0,32-bit Generic,Fixed-step,normal,21,2,2,0,0,,,0
8,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,-1,0,28,36,2,3,3,0,1,0,10,0.07299995422363281,0,Intel->x86-64 (Windows64),Fixed-step,normal,27,3,3,0,0,,,0
9,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,-1,0,27,35,2,3,3,0,1,0,10,0.06099987030029297,0,Intel->x86-64 (Windows64),Fixed-step,normal,26,3,3,0,0,,,0
10,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,-1,0,294,468,2,49,5,18,1,31,10,0.3600000739097595,0,Specified,Fixed-step,normal,325,31,31,8,0,,,0
